DOI,Link
"10.1109/ACCESS.2020.3000009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086711993&doi=10.1109%2fACCESS.2020.3000009&partnerID=40&md5=5d9e310083ca3c779941fef143dcc4f8"
"10.1109/ACCESS.2020.2981956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083720033&doi=10.1109%2fACCESS.2020.2981956&partnerID=40&md5=8b5e545bd5457bc700b9ed507f2a1821"
"10.1587/transinf.2018EDP7409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082831468&doi=10.1587%2ftransinf.2018EDP7409&partnerID=40&md5=b072b389a7ff487491fd1cfba18cc0d2"
"10.1109/ACCESS.2020.2963941","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078331488&doi=10.1109%2fACCESS.2020.2963941&partnerID=40&md5=ebfc5eabff69d3bb0057985de433cf45"
"10.1155/2020/4760297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078118729&doi=10.1155%2f2020%2f4760297&partnerID=40&md5=a9d7584e1582ad5a75184c64910f11bb"
"10.1109/MM.2019.2948345","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073748116&doi=10.1109%2fMM.2019.2948345&partnerID=40&md5=e81bf880d3e6d5416e02bf5f28285451"
"10.1016/j.cma.2019.112628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072715847&doi=10.1016%2fj.cma.2019.112628&partnerID=40&md5=f33f8d6843e0d2e9b170a53394db51c5"
"10.1145/3358699","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077797445&doi=10.1145%2f3358699&partnerID=40&md5=4d04d5032e7007c54b724cda2019693b"
"10.3390/electronics8121479","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076604172&doi=10.3390%2felectronics8121479&partnerID=40&md5=da8834cc1d6f1fddab1c9e5d33f3c14a"
"10.1147/JRD.2019.2947008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075005732&doi=10.1147%2fJRD.2019.2947008&partnerID=40&md5=149fae4a32b68a94260f555f30ccad86"
"10.1109/TCAD.2017.2785257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055214133&doi=10.1109%2fTCAD.2017.2785257&partnerID=40&md5=efd0ec4a34510dd965e28ad02576abc8"
"10.1016/j.neucom.2019.06.080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069835328&doi=10.1016%2fj.neucom.2019.06.080&partnerID=40&md5=b6919259a3806bc07e555229b008ea4b"
"10.1016/j.compeleceng.2019.106452","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072198898&doi=10.1016%2fj.compeleceng.2019.106452&partnerID=40&md5=ca02d08545ab95e48dae680a223ae964"
"10.1109/TC.2018.2867048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052626945&doi=10.1109%2fTC.2018.2867048&partnerID=40&md5=1591e532ed982145f5e69336005b8e75"
"10.1177/1729881419867600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070401608&doi=10.1177%2f1729881419867600&partnerID=40&md5=ba026b7ba061c3d8e35d7a38ab9674a0"
"10.7544/issn1000-1239.2019.20190113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072169029&doi=10.7544%2fissn1000-1239.2019.20190113&partnerID=40&md5=9102d191516a8a083d3cf0ca9c6ed135"
"10.1109/JIOT.2019.2902141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067882071&doi=10.1109%2fJIOT.2019.2902141&partnerID=40&md5=5138592d80a7b74e34374def68a7d046"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067872760&partnerID=40&md5=8ce573ce0a5636fc90197f21fcae7966"
"10.1109/MM.2019.2908101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063906560&doi=10.1109%2fMM.2019.2908101&partnerID=40&md5=84e8821e5bd488ead3b2a52749b02bf1"
"10.3390/app9081669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067106643&doi=10.3390%2fapp9081669&partnerID=40&md5=fb662a13d2c71886c17bcb101bb464cb"
"10.1016/j.compbiomed.2019.01.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061774398&doi=10.1016%2fj.compbiomed.2019.01.018&partnerID=40&md5=3f2aebbd99d0a0f565e34ccbc9a62ecb"
"10.1109/TCAD.2018.2821561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044737461&doi=10.1109%2fTCAD.2018.2821561&partnerID=40&md5=a4aee2ac92bc67a989a95f0ba0a8e78d"
"10.1145/3304104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063950676&doi=10.1145%2f3304104&partnerID=40&md5=6a9203995b0965d5f3bb7e9fda2ad9a3"
"10.1142/S021812661950021X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047323351&doi=10.1142%2fS021812661950021X&partnerID=40&md5=78b7baa25412add752cf7580d18a60b1"
"10.1109/TII.2018.2796556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040988603&doi=10.1109%2fTII.2018.2796556&partnerID=40&md5=ef7251183e03e51eb55bb44e8503b17f"
"10.1016/j.neucom.2018.09.038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055032561&doi=10.1016%2fj.neucom.2018.09.038&partnerID=40&md5=3974d330a0ce54638239842193330118"
"10.30534/ijatcse/2019/1381.62019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078239551&doi=10.30534%2fijatcse%2f2019%2f1381.62019&partnerID=40&md5=77fa1584d773f3ae6c025925de51c3e9"
"10.1109/ACCESS.2019.2960948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077956442&doi=10.1109%2fACCESS.2019.2960948&partnerID=40&md5=d8d18cc4705979ee340c47eb6a975d56"
"10.1109/ACCESS.2019.2951710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077730963&doi=10.1109%2fACCESS.2019.2951710&partnerID=40&md5=2911aeb8f1a0fdf88f20729db70c61a7"
"10.1109/ACCESS.2019.2953019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077238105&doi=10.1109%2fACCESS.2019.2953019&partnerID=40&md5=f7193eaad809c64ef831bffdc4580d9a"
"10.1109/ACCESS.2019.2957203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076971079&doi=10.1109%2fACCESS.2019.2957203&partnerID=40&md5=13a558c1e6623c8eb3c795c80955f3ce"
"10.1109/ACCESS.2019.2931392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070482507&doi=10.1109%2fACCESS.2019.2931392&partnerID=40&md5=20fdc58d1e4cdd10a9cff702c5246cfa"
"10.1109/ACCESS.2019.2926381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069765470&doi=10.1109%2fACCESS.2019.2926381&partnerID=40&md5=1f9421926f6ef0ed838654744986310c"
"10.1109/ACCESS.2019.2920885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068255313&doi=10.1109%2fACCESS.2019.2920885&partnerID=40&md5=c7f44b0b29947b13cd207168b40536d1"
"10.1109/ACCESS.2019.2905138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065180703&doi=10.1109%2fACCESS.2019.2905138&partnerID=40&md5=28f9bf086f571662bf623db0b15273f1"
"10.1109/LCA.2019.2908374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064701583&doi=10.1109%2fLCA.2019.2908374&partnerID=40&md5=42257217eaa98b16258b6bb263f9f6ba"
"10.1109/ACCESS.2019.2890967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061092070&doi=10.1109%2fACCESS.2019.2890967&partnerID=40&md5=f72b2bcc5102acf879baf8a8662c2875"
"10.1145/3284357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058815973&doi=10.1145%2f3284357&partnerID=40&md5=0107c76a32bcd72b37e312a5baa8ce8d"
"10.1109/TVLSI.2018.2819190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049469562&doi=10.1109%2fTVLSI.2018.2819190&partnerID=40&md5=4e5a44499b7de4be259aea815bc46707"
"10.1109/TVLSI.2018.2837908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048192163&doi=10.1109%2fTVLSI.2018.2837908&partnerID=40&md5=1c978124084d1492aaf43a2905ddd0b5"
"10.1109/TCAD.2017.2778060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037596245&doi=10.1109%2fTCAD.2017.2778060&partnerID=40&md5=ef427228b16ec927965b0e0272d071e0"
"10.1016/j.cogsys.2018.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044526146&doi=10.1016%2fj.cogsys.2018.03.005&partnerID=40&md5=d35bdb72ea77472d5b99f5ab2b78d17e"
"10.1016/j.jfranklin.2018.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046653158&doi=10.1016%2fj.jfranklin.2018.04.014&partnerID=40&md5=bd7b1efe2a97415227311a4f9470f7bb"
"10.1109/TVLSI.2018.2810831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044864893&doi=10.1109%2fTVLSI.2018.2810831&partnerID=40&md5=139336e3d249112cad52033a8ad2e9d5"
"10.1109/TMSCS.2017.2787109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040038360&doi=10.1109%2fTMSCS.2017.2787109&partnerID=40&md5=e7c1658d16f7ea29fe709cd7b5c96cf4"
"10.1145/3211332.3211336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084192663&doi=10.1145%2f3211332.3211336&partnerID=40&md5=f68e1c029494ec839c31e89f18ca7171"
"10.1007/s10489-017-1007-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026772982&doi=10.1007%2fs10489-017-1007-z&partnerID=40&md5=0a6aa17abd512926df29945dd3a5d7b5"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067270771&partnerID=40&md5=397c33d415fed6913c48d4bb4751dc7a"
"10.1155/2018/1752070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059956214&doi=10.1155%2f2018%2f1752070&partnerID=40&md5=783f0a225729eba624736ebdcb69c141"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049366693&partnerID=40&md5=c7d7f6fdc028eb23262224415494fdc7"
,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042699245&partnerID=40&md5=e67ff789e79f0eef9f63e4241909cf9e"
"10.1109/MM.2018.112130309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041648322&doi=10.1109%2fMM.2018.112130309&partnerID=40&md5=3ef1255913b08889d2b1706dc6230b06"
